UserID,UserNo,Name,Email,IP Address,Unique ID,Started,Ended,Tracking Link,Q8978198,Q8978199,Q8978200,Q8978201,Q8978202,Q8978205,Q8978206,,Q10160220,,,,Q8978209,Q8978203,Q8978204,,Q8978207,Q8978210,,,,Q9215126,Q9215135,Q8978211,,,,,,,,,,,Q10765296,Q9562712,Q9864001,Q8978212,,Q9480381,Q8978221,,,Q8978222,Q9512985,Q9456395,Q8978224,,,,,Q9505407,Q8978226,Q9512168,Q8978227,Q8978228,Q8978229,,,,,,Q9442572,Q9065119,,,,,,,,,,,,,,,,Q8978233,,,,,,,,Q9505480,Q9442668,,,,,,,,,,,,,,,,Q9442669,Q9442670,,,,,,Q8978235,,,,,,,,,,,,,Q8978236,,,,,,Q8978240,Q8978238,Q9318333,Q8978234,,,,,,Q8978237,Q8978241,,,,,,,,,,,,,,,,Q8978242,Q8978243,,,,,,,,,,,,,,,,,Q8978244,,,,,,Q8978245,Q8978246,Q8978247,Q8978248,,,,,,,,,,,Q8978249,Q8978250,Q8978251,Q8978252,,,Q8978253,,,,Q8978254,Q8978255,Q8978256,Q8978257,Q8978258,Q8978259,Q8978260,Q8978261,Q8978262,,,,,,,Q8978263,,,,,,Q8978264,,,Q8978265,,Q10861459,,,,,,,,,,Q8978266,,,,,
,,,,,,,,,16,Other,Heterosexual/Straight,Black,Buddhist,Year 9,Missing,Missing,Yes,Yes,No,Yes,No,Other,,,No,5,Missing,Missing,Missing,4,8,Rarely or never,Rarely or never,Rarely or never,On most days,Rarely or never,Once a week or less,Rarely or never,Rarely or never,Rarely or never,On most days,Missing,3,Overweight,2 or more,0,Missing,0,Yes,Yes,Yes,"I used to smoke, but I don’t now",I have never vaped,Missing,No,No,No,No,No,No,Never,Missing,Missing,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Missing,Missing,I have heard of it but know nothing about it,It can be treated but not cured,I have heard of it but know nothing about it,I have heard of it but know nothing about it,Sexual health clinic,No,Missing,Agree,Agree,Disagree,Agree,Agree,Not sure,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Not sure,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Not sure,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Unsafe,Safe,Neither safe or unsafe,Neither safe or unsafe,"Yes, I was the victim",No,Never,Don't know,No,No,Once or twice,Prefer not to say,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Maybe,Maybe,Yes,Maybe
,,,,,,,,,13,Female,Heterosexual/Straight,Black,Muslim,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,#NUM!,#NUM!,No,4,Missing,Missing,Missing,8,6,Once a week or less,Rarely or never,Rarely or never,Once a week or less,On most days,Once a week or less,2-3 days a week,On most days,2-3 days a week,On most days,Missing,3,Overweight,0,3,Missing,5,Yes,No,Yes,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,2-4 times a month,"No, I want to keep drinking alcohol",Missing,Weekly,Yes,No,No,No,Yes,No,I have never taken drugs,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,It can be treated but not cured,I have never heard of it,Doctor,Yes,Missing,Agree,Not sure,Disagree,Missing,Agree,Disagree,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Prefer not to say,Yes,Missing,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Unsafe,Safe,Missing,Safe,"Yes, I was the victim",Missing,Never,Missing,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Sometimes,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,Maybe,Missing,No,No,Yes,Maybe
,,,,,,,,,16,Male,"Gay, lesbian or bisexual",Black,Muslim,Year 9,The Adeyfield Academy,Missing,Yes,No,No,No,Missing,One parent,,,No,5,Missing,Missing,Missing,2,3,2-3 days a week,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,On most days,2-3 days a week,Once a week or less,Missing,3,Underweight,0,1,Missing,4,Yes,No,Yes,I have tried smoking once or twice,I have vaped once or twice,Missing,No,No,No,No,No,Missing,4 or more times a week,"No, I want to keep drinking alcohol",5,Weekly,Yes,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,"No, I want to keep taking drugs",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be both treated and cured,It can be treated but not cured,I have never heard of it,Doctor,Not sure,Missing,Not sure,Agree,Not sure,Disagree,Disagree,Not sure,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,Missing,Yes,Missing,No,No,Prefer not to say,No,No,No,No,Yes,Yes,No,No,No,No,No,Prefer not to say,Yes,Yes,No,Yes,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, I was the victim",Always,Prefer not to say,Prefer not to say,Once or twice,Most days/Every day,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Not sure,Sometimes,No,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,Yes,Maybe
,,,,,,,,,13,Female,Transgender,Black,No religion,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,Foster parents or in a care home,,,Prefer not to say,9,Missing,Missing,Missing,8,4,2-3 days a week,Rarely or never,Rarely or never,On most days,On most days,Once a week or less,2-3 days a week,2-3 days a week,Once a week or less,2-3 days a week,Missing,3,Don't know/ Prefer not to say,1,6,Missing,5,Yes,No,Yes,I smoke regularly (once a week or more),I vape regularly (once a week or more),I'd like to reduce the amount I smoke but not stop,No,No,No,No,Yes,Yes,2-3 times a week,"Yes, I'd like to stop drinking alcohol",4,Monthly,No,No,No,Yes,Yes,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,I have heard of it but know nothing about it,I have never heard of it,School/College,Not sure,Missing,Not sure,Not sure,Agree,Disagree,Not sure,Agree,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Not sure,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Prefer not to say,Not sure,Not sure,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Missing,No,No,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, but I wasn't the victim",Sometimes,Don't know,Once or twice,Once or twice,Most days/Every day,Prefer not to say,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Maybe,No,Yes,No,Maybe,Yes
,,,,,,,,,15,Male,"Gay, lesbian or bisexual",Black,Christian,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,Prefer not to say,6,Missing,Missing,Missing,5,6,Rarely or never,On most days,On most days,On most days,Rarely or never,Rarely or never,Rarely or never,Rarely or never,Rarely or never,Once a week or less,Missing,3,Overweight,1,0,Missing,0,Yes,Yes,No,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,Monthly or less,"No, I want to keep drinking alcohol",9,Never,No,No,No,No,Yes,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,I have heard of it but know nothing about it,Sexual health clinic,Yes,Missing,Agree,Agree,Agree,Agree,Agree,Disagree,Not sure,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Prefer not to say,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Unsafe,Neither safe or unsafe,Safe,Safe,No,No,Never,No,Most days/Every day,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Sometimes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
,,,,,,,,,17,Other,"Gay, lesbian or bisexual",Black,Buddhist,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,No,3,Missing,Missing,Missing,3,4,Once a week or less,Rarely or never,Rarely or never,On most days,2-3 days a week,Once a week or less,On most days,Once a week or less,Rarely or never,Once a week or less,Missing,3,Overweight,2 or more,4,Missing,4,No,No,No,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Online (e.g. Sexwise website),Yes,Missing,Agree,Agree,Agree,Agree,Agree,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Unsafe,Safe,Unsafe,Safe,No,No,Never,No,No,No,Once or twice,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Sometimes,Sometimes,Sometimes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,No,Yes
,,,,,,,,,13,Male,Transgender,Black,Muslim,Year 9,The Adeyfield Academy,Missing,No,Yes,No,No,No,Both parents,,,No,7,Missing,Missing,Missing,5,6,Once a week or less,On most days,On most days,On most days,On most days,Once a week or less,Once a week or less,Once a week or less,Rarely or never,2-3 days a week,Missing,3,Overweight,2 or more,3,Missing,3,No,No,No,I have never smoked,I have vaped once or twice,Missing,No,No,No,No,No,Missing,Monthly or less,"No, I want to keep drinking alcohol",6,Less than monthly,Yes,No,No,No,Yes,No,I have never taken drugs,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Doctor,Not sure,Missing,Disagree,Not sure,Disagree,Agree,Agree,Disagree,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Unsafe,Neither safe or unsafe,Safe,Neither safe or unsafe,No,No,Never,Yes,Once or twice,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Maybe,No,No,Yes
,,,,,,,,,15,Female,Transgender,Black,Christian,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,Both parents,,,No,9,Missing,Missing,Missing,9,10,On most days,On most days,On most days,On most days,2-3 days a week,Once a week or less,Once a week or less,Once a week or less,Once a week or less,On most days,Missing,3,Don't know/ Prefer not to say,2 or more,7,Missing,Missing,No,No,No,Missing,Missing,Missing,No,No,No,No,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing
,,,,,,,,,15,Other,"Gay, lesbian or bisexual",Black,No religion,Year 9,Missing,Missing,No,No,Yes,No,No,Both parents,,,No,8,Missing,Missing,Missing,10,8,Rarely or never,Once a week or less,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,On most days,On most days,On most days,On most days,Missing,3,Overweight,2 or more,1,Missing,0,No,No,No,I have never smoked,I have vaped once or twice,Missing,No,No,No,No,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,I have never taken drugs,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be treated but not cured,Youth Service/Worker,Yes,Missing,Agree,Agree,Disagree,Agree,Disagree,Disagree,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Neither safe or unsafe,Safe,Safe,Safe,No,No,Never,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Missing,Missing,Missing,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
,,,,,,,,,14,Other,Transgender,Black,No religion,Year 9,Missing,Missing,No,Yes,No,Yes,No,Other,,,No,5,Missing,Missing,Missing,4,8,Rarely or never,Rarely or never,Rarely or never,On most days,Rarely or never,Once a week or less,Rarely or never,Rarely or never,Rarely or never,On most days,Missing,3,Overweight,2 or more,0,Missing,0,Yes,Yes,Yes,"I used to smoke, but I don’t now",I have never vaped,Missing,No,No,No,No,No,No,Never,Missing,Missing,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Missing,Missing,I have heard of it but know nothing about it,It can be treated but not cured,I have heard of it but know nothing about it,I have heard of it but know nothing about it,Sexual health clinic,No,Missing,Agree,Agree,Disagree,Agree,Agree,Not sure,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Not sure,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Not sure,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Unsafe,Safe,Neither safe or unsafe,Neither safe or unsafe,"Yes, I was the victim",No,Never,Don't know,No,No,Once or twice,Prefer not to say,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Maybe,Maybe,Yes,Maybe
,,,,,,,,,14,Other,"Gay, lesbian or bisexual",Black,No religion,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Yes,One parent,,,No,4,Missing,Missing,Missing,5,7,Rarely or never,Once a week or less,2-3 days a week,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,On most days,Missing,3,Overweight,2 or more,3,Missing,3,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have never vaped,"Yes, I'd like to stop smoking",No,No,No,Yes,Yes,No,2-4 times a month,I'd like to reduce the amount I drink but not stop,3,Monthly,Yes,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Missing,Missing,I have never heard of it,I have heard of it but know nothing about it,It can be treated but not cured,It can be both treated and cured,Pharmacy,Not sure,Missing,Agree,Agree,Disagree,Not sure,Not sure,Agree,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,Neither safe or unsafe,Safe,Neither safe or unsafe,Unsafe,"Yes, I was the victim","Yes, I was the victim",Never,Yes,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Sometimes,No,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,Yes,Maybe
,,,,,,,,,16,Male,"Gay, lesbian or bisexual",Chinese,No religion,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,No,5,Missing,Missing,Missing,2,3,2-3 days a week,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,On most days,2-3 days a week,Once a week or less,Missing,3,Underweight,0,1,Missing,4,Yes,No,Yes,I have tried smoking once or twice,I have vaped once or twice,Missing,No,No,No,No,No,Missing,4 or more times a week,"No, I want to keep drinking alcohol",5,Weekly,Yes,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,"No, I want to keep taking drugs",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be both treated and cured,It can be treated but not cured,I have never heard of it,Doctor,Not sure,Missing,Not sure,Agree,Not sure,Disagree,Disagree,Not sure,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,Missing,Yes,Missing,No,No,Prefer not to say,No,No,No,No,Yes,Yes,No,No,No,No,No,Prefer not to say,Yes,Yes,No,Yes,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, I was the victim",Always,Prefer not to say,Prefer not to say,Once or twice,Most days/Every day,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Not sure,Sometimes,No,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,Yes,Maybe
,,,,,,,,,15,Female,Heterosexual/Straight,Mixed,No religion,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,Foster parents or in a care home,,,Prefer not to say,9,Missing,Missing,Missing,8,4,2-3 days a week,Rarely or never,Rarely or never,On most days,On most days,Once a week or less,2-3 days a week,2-3 days a week,Once a week or less,2-3 days a week,Missing,3,Don't know/ Prefer not to say,1,6,Missing,5,Yes,No,Yes,I smoke regularly (once a week or more),I vape regularly (once a week or more),I'd like to reduce the amount I smoke but not stop,No,No,No,No,Yes,Yes,2-3 times a week,"Yes, I'd like to stop drinking alcohol",4,Monthly,No,No,No,Yes,Yes,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,I have heard of it but know nothing about it,I have never heard of it,School/College,Not sure,Missing,Not sure,Not sure,Agree,Disagree,Not sure,Agree,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Not sure,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Prefer not to say,Not sure,Not sure,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Missing,No,No,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, but I wasn't the victim",Sometimes,Don't know,Once or twice,Once or twice,Most days/Every day,Prefer not to say,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Maybe,No,Yes,No,Maybe,Yes
,,,,,,,,,17,Male,Transgender,Chinese,No religion,Year 9,The Adeyfield Academy,Missing,Yes,No,No,No,Missing,One parent,,,Prefer not to say,6,Missing,Missing,Missing,5,6,Rarely or never,On most days,On most days,On most days,Rarely or never,Rarely or never,Rarely or never,Rarely or never,Rarely or never,Once a week or less,Missing,3,Overweight,1,0,Missing,0,Yes,Yes,No,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,Monthly or less,"No, I want to keep drinking alcohol",9,Never,No,No,No,No,Yes,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,I have heard of it but know nothing about it,Sexual health clinic,Yes,Missing,Agree,Agree,Agree,Agree,Agree,Disagree,Not sure,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Prefer not to say,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Unsafe,Neither safe or unsafe,Safe,Safe,No,No,Never,No,Most days/Every day,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Sometimes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
,,,,,,,,,18,Male,Transgender,Mixed,No religion,Year 9,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,No,3,Missing,Missing,Missing,3,4,Once a week or less,Rarely or never,Rarely or never,On most days,2-3 days a week,Once a week or less,On most days,Once a week or less,Rarely or never,Once a week or less,Missing,3,Overweight,2 or more,4,Missing,4,No,No,No,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Online (e.g. Sexwise website),Yes,Missing,Agree,Agree,Agree,Agree,Agree,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Unsafe,Safe,Unsafe,Safe,No,No,Never,No,No,No,Once or twice,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Sometimes,Sometimes,Sometimes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,No,Yes
